label,pi,obs,dipole,topic
Polarization5,0.42328042328042326,11,D179_910,t792394
Polarization4,0.33333333333333326,10,D179_910,t239200
Polarization4,0.33333333333333326,20,D179_910,t535826
Polarization1,0.09629629629629625,7,D179_910,t197120
Polarization5,0.41666666666666674,13,D179_910,t954193
Polarization3,0.2727272727272727,34,D179_910,t494351
Polarization1,0.0,3,D179_910,t984527
Polarization3,0.2277777777777778,69,D179_910,t750651
Polarization1,0.0,3,D179_910,t783766
Polarization9,0.8333333333333333,7,D179_910,t697500
Polarization0,1.0,8,D179_910,t480629
Polarization7,0.6458333333333334,25,D179_910,t872087
Polarization6,0.5555555555555556,4,D179_910,t371675
Polarization1,0.0,11,D179_910,t256111
Polarization5,0.41341991341991347,29,D179_910,t1009194
Polarization7,0.6386848330139868,258,D179_910,t964699
Polarization5,0.42036124794745483,31,D179_910,t509652
Polarization3,0.25,7,D179_910,t810153
Polarization8,0.7916666666666666,17,D179_910,t190114
Polarization4,0.33333333333333326,22,D179_910,t208440
Polarization0,1.0,2,D179_910,t549902
Polarization7,0.6666666666666667,4,D179_910,t745689
Polarization4,0.33333333333333326,18,D179_910,t263995
Polarization0,1.0,2,D179_910,t890841
Polarization3,0.20238095238095238,6,D179_910,t35828
Polarization6,0.5714285714285714,7,D179_910,t311082
Polarization5,0.41666666666666674,28,D179_910,t1039898
Polarization3,0.24420289855072466,26,D179_910,t473657
Polarization5,0.42105263157894735,13,D179_910,t201381
Polarization6,0.5454545454545454,65,D179_910,t926141
Polarization0,1.0,5,D179_910,t268448
Polarization4,0.30000000000000004,11,D179_910,t432024
Polarization5,0.42735042735042733,11,D179_910,t940090
Polarization0,1.0,2,D179_910,t629691
Polarization10,0.9777777777777779,27,D179_910,t626105
Polarization4,0.3529411764705883,18,D179_910,t12460
Polarization4,0.33333333333333326,10,D179_910,t342729
Polarization1,0.0,6,D179_910,t297442
Polarization9,0.8452533538408953,46,D179_910,t862886
Polarization7,0.6000000000000001,6,D179_910,t116923
Polarization0,1.0,3,D179_910,t788236
Polarization6,0.5,3,D179_910,t337739
Polarization7,0.6000000000000001,13,D179_910,t260943
Polarization6,0.5421401515151515,18,D179_910,t757749
Polarization7,0.6827697262479872,19,D179_910,t632083
Polarization6,0.5555555555555556,4,D179_910,t1007987
Polarization0,1.0,2,D179_910,t475992
Polarization4,0.375,17,D179_910,t766862
Polarization1,0.0,7,D179_910,t818482
Polarization6,0.5141025641025639,67,D179_910,t506014
Polarization4,0.38888888888888895,14,D179_910,t814816
Polarization2,0.19999999999999996,6,D179_910,t300130
Polarization7,0.625,17,D179_910,t897080
Polarization1,0.0,12,D179_910,t981786
Polarization7,0.6666666666666666,5,D179_910,t818526
Polarization7,0.6833333333333333,9,D179_910,t46534
Polarization9,0.826086956521739,24,D179_910,t580736
Polarization7,0.6666666666666667,7,D179_910,t272861
Polarization7,0.6298850574712643,149,D179_910,t950272
Polarization7,0.6776286353467562,150,D179_910,t503119
