fellowship,edges,positive,negative,density,density_plus,density_minus,attitudinal_cohesiveness_avg,attitudinal_cohesiveness_std,attitudinal_cohesiveness_max,attitudinal_cohesiveness_min
F0,72,70,2,0.23529411764705882,0.22875816993464052,1.0,0.9705882352941176,0.11764705882352942,1.0,0.5
F1,30,30,0,0.125,0.125,0.0,0.9966216216216216,0.040960660989804526,1.0,0.5
F2,30,30,0,0.125,0.125,0.0,0.9901685393258427,0.0668427192937685,1.0,0.5
F3,52,52,0,0.21666666666666667,0.21666666666666667,0.0,0.9834834834834836,0.08651567742275036,1.0,0.5
F4,38,38,0,0.18095238095238095,0.18095238095238095,0.0,0.9931506849315068,0.05811836557697651,1.0,0.5
F5,68,66,2,0.3238095238095238,0.3142857142857143,1.0,0.9546130952380952,0.1372419985927088,1.0,0.5
F6,28,28,0,0.15384615384615385,0.15384615384615385,0.0,0.9925925925925926,0.05779439457158235,1.0,0.5
F7,26,26,0,0.16666666666666666,0.16666666666666666,0.0,0.9856630824372759,0.07978433437115437,1.0,0.5
F8,56,54,2,0.358974358974359,0.34615384615384615,1.0,0.9592911877394638,0.1306172428285487,1.0,0.5
F9,26,26,0,0.16666666666666666,0.16666666666666666,0.0,0.9794685990338166,0.09716782166913371,1.0,0.5
F10,24,24,0,0.15384615384615385,0.15384615384615385,0.0,0.9949748743718593,0.04987294784241007,1.0,0.5
F11,36,36,0,0.2727272727272727,0.2727272727272727,0.0,0.9721393034825869,0.103339273609609,1.0,0.5
F12,46,44,2,0.3484848484848485,0.3333333333333333,1.0,0.9931506849315068,0.058118365576976506,1.0,0.5
F13,24,24,0,0.21818181818181817,0.21818181818181817,0.0,0.9715447154471544,0.11287352338955138,1.0,0.5
F14,32,30,2,0.2909090909090909,0.2727272727272727,1.0,0.9861878453038674,0.08194694460879186,1.0,0.5
F15,24,24,0,0.26666666666666666,0.26666666666666666,0.0,0.9767441860465116,0.10529517602485368,1.0,0.5
F16,20,20,0,0.2222222222222222,0.2222222222222222,0.0,1.0,0.0,1.0,1.0
F17,32,32,0,0.35555555555555557,0.35555555555555557,0.0,0.9969135802469137,0.031926174175273464,1.0,0.6666666666666666
F18,20,20,0,0.2222222222222222,0.2222222222222222,0.0,0.9927007299270073,0.05996962308450725,1.0,0.5
F19,26,26,0,0.28888888888888886,0.28888888888888886,0.0,0.9760416666666666,0.10515675303247686,1.0,0.5
F20,26,26,0,0.28888888888888886,0.28888888888888886,0.0,0.9915254237288136,0.06454045004969414,1.0,0.5
F21,18,18,0,0.2,0.2,0.0,0.9930915371329878,0.05584489193169169,1.0,0.5
F22,18,18,0,0.25,0.25,0.0,0.9846938775510204,0.08613236232721498,1.0,0.5
F23,24,24,0,0.42857142857142855,0.42857142857142855,0.0,1.0,0.0,1.0,1.0
F24,18,18,0,0.32142857142857145,0.32142857142857145,0.0,0.9882005899705015,0.07258675397855033,1.0,0.5
F25,14,14,0,0.25,0.25,0.0,0.9824561403508771,0.09200077615527644,1.0,0.5
F26,18,18,0,0.32142857142857145,0.32142857142857145,0.0,0.9806201550387598,0.0895675969634988,1.0,0.5
F27,22,22,0,0.39285714285714285,0.39285714285714285,0.0,1.0,0.0,1.0,1.0
