topic,dt,obst,mt,score,maxm,minm,stdm,avgm
t1000713,12,53,0.25,1.1041666666666667,1.0,0.0,0.3933154556292728,0.359006734006734
t1000756,2,6,0.0,0.0,0.0,0.0,0.0,0.0
t1001829,5,22,0.0,0.0,1.0,0.0,0.4000000000000001,0.2
t1002354,16,57,0.8,2.85,1.0,0.0,0.41363480269435743,0.6375
t1002642,11,36,0.5,1.6363636363636365,1.0,0.0,0.3545584043219092,0.42121212121212126
t1002686,16,55,0.6666666666666667,2.291666666666667,1.0,0.0,0.37312658973543095,0.5538194444444444
t100423,148,4910,0.0,0.0,1.0,0.0,0.28103135238533433,0.11523084788271705
t1004636,1,5,1.0,5.0,1.0,1.0,0.0,1.0
t1004665,1,2,0.0,0.0,0.0,0.0,0.0,0.0
t1005135,4,10,0.5,1.25,1.0,0.0,0.5,0.5
t1005432,28,211,0.09090909090909083,0.6850649350649345,1.0,0.0,0.4108393885748878,0.2792207792207792
t1005511,2,4,0.0,0.0,0.0,0.0,0.0,0.0
t1005626,112,722,0.1742424242424243,1.1232413419913423,1.0,0.0,0.3460361724291049,0.32205094302250437
t1005912,11,30,0.5,1.3636363636363635,1.0,0.0,0.4165977904505309,0.5909090909090909
t1005999,2,6,0.0,0.0,0.0,0.0,0.0,0.0
t1006521,1,2,0.0,0.0,0.0,0.0,0.0,0.0
t1006866,46,266,0.3999999999999999,2.313043478260869,1.0,0.0,0.37545030913577576,0.46274546709329306
t1007046,51,198,0.0,0.0,1.0,0.0,0.35207469001242225,0.21907803525450587
t1007686,5,19,0.25,0.95,1.0,0.0,0.4183300132670378,0.5
t1007707,14,110,0.49224806201550386,3.8676633444075303,1.0,0.0,0.41190058989312006,0.4750830564784053
t1007741,3,7,1.0,2.3333333333333335,1.0,0.0,0.4714045207910317,0.6666666666666666
t1007801,3,12,0.0,0.0,1.0,0.0,0.4714045207910317,0.3333333333333333
t1007882,2,4,0.5,1.0,1.0,0.0,0.5,0.5
t1007987,39,140,0.5555555555555556,1.9943019943019944,1.0,0.0,0.40238446239165876,0.4586894586894587
t1008459,374,13084,0.4710906393208625,16.480614772390815,1.0,0.0,0.2871014797818676,0.49621840250908095
t100919,2,4,0.5,1.0,1.0,0.0,0.5,0.5
t1009194,101,861,0.41341991341991347,3.5243024302430244,1.0,0.0,0.4111375949781947,0.47785351338433185
t1009466,29,151,0.24107142857142858,1.2552339901477834,0.8842105263157896,0.0,0.24916714632652442,0.27144937713556266
t1009625,2,4,1.0,2.0,1.0,1.0,0.0,1.0
t1010954,1,3,0.0,0.0,0.0,0.0,0.0,0.0
t1010967,25,250,0.46857142857142836,4.685714285714283,1.0,0.0,0.40435349335518905,0.4801067155067155
t1011175,8,21,1.0,2.625,1.0,0.0,0.4409585518440985,0.6666666666666666
t1011701,2,6,0.5,1.5,1.0,0.0,0.5,0.5
t1012586,8,16,1.0,2.0,1.0,0.0,0.4330127018922193,0.75
t1012724,2,6,0.5,1.5,1.0,0.0,0.5,0.5
t1013128,2,6,0.25,0.75,0.5,0.0,0.25,0.25
t1013352,2,4,0.5,1.0,1.0,0.0,0.5,0.5
t1013407,7,22,0.0,0.0,0.0,0.0,0.0,0.0
t1013606,27,82,0.0,0.0,1.0,0.0,0.36362164135859604,0.26543209876543206
t1014223,2,4,0.5,1.0,1.0,0.0,0.5,0.5
t1015401,11,38,0.38888888888888884,1.3434343434343432,1.0,0.0,0.3545620013980982,0.45202020202020204
t101569,16,125,0.0,0.0,0.0,0.0,0.0,0.0
t1016438,1,2,1.0,2.0,1.0,1.0,0.0,1.0
t1016631,1,2,0.0,0.0,0.0,0.0,0.0,0.0
t1017082,9,119,0.0,0.0,1.0,0.0,0.3871731310035432,0.25902705213050037
t1017184,7,17,0.0,0.0,0.0,0.0,0.0,0.0
t1017560,52,186,0.0,0.0,1.0,0.0,0.24594007811860097,0.12179487179487179
t1017653,25,98,0.7333333333333334,2.8746666666666667,1.0,0.0,0.3655473825496346,0.6586666666666667
t1018030,1,2,0.0,0.0,0.0,0.0,0.0,0.0
t1018047,2,4,0.5,1.0,1.0,0.0,0.5,0.5
t1018673,34,145,0.33333333333333326,1.42156862745098,1.0,0.0,0.3088745332575307,0.30849673202614375
t1019153,4,12,0.0,0.0,0.0,0.0,0.0,0.0
t1019703,2,5,0.0,0.0,0.0,0.0,0.0,0.0
t1020535,9,22,0.0,0.0,1.0,0.0,0.408248290463863,0.3333333333333333
t102094,26,103,0.125,0.4951923076923077,1.0,0.0,0.4231861747051036,0.375
t102098,214,2647,0.6000000000000001,7.421495327102805,1.0,0.0,0.2540700576290492,0.5784660889331493
t1022390,1,2,0.0,0.0,0.0,0.0,0.0,0.0
t1022935,1,2,1.0,2.0,1.0,1.0,0.0,1.0
t1023066,1,3,0.0,0.0,0.0,0.0,0.0,0.0
t1023718,5,13,0.0,0.0,0.0,0.0,0.0,0.0
t1025301,1,3,1.0,3.0,1.0,1.0,0.0,1.0
t1025825,1,3,0.0,0.0,0.0,0.0,0.0,0.0
t102608,15,38,0.0,0.0,0.5,0.0,0.24088314876309777,0.2222222222222222
t1026092,4,9,0.0,0.0,1.0,0.0,0.4330127018922193,0.25
t1026175,3,10,0.6666666666666667,2.2222222222222228,1.0,0.33333333333333326,0.2721655269759087,0.6666666666666666
t1026705,31,138,0.5,2.225806451612903,1.0,0.0,0.30083131437507776,0.5419354838709678
t1026985,3,10,0.0,0.0,0.3333333333333333,0.0,0.15713484026367722,0.1111111111111111
t1027305,30,99,1.0,3.3,1.0,0.0,0.49553562491061676,0.5666666666666667
t1027475,6,12,0.0,0.0,1.0,0.0,0.4714045207910317,0.3333333333333333
t1027830,121,762,0.5,3.1487603305785123,1.0,0.0,0.36770762584972855,0.4952683059620859
t1028550,22,116,0.375,1.977272727272727,1.0,0.0,0.40181058211555276,0.46968614718614715
t1028808,3,6,0.0,0.0,1.0,0.0,0.4714045207910317,0.3333333333333333
t102924,8,25,0.14999999999999994,0.46874999999999983,1.0,0.0,0.39510898637098996,0.35
