cohesiveness,member_size,attitude_population,member_ratio,fellowship,topic
1.0,18,1,0.05555555555555555,F0,t697843
1.0,18,2,0.1111111111111111,F0,t556518
1.0,18,1,0.05555555555555555,F0,t375198
1.0,18,1,0.05555555555555555,F0,t696910
1.0,18,1,0.05555555555555555,F0,t8549
1.0,18,2,0.1111111111111111,F0,t59280
0.5,18,2,0.1111111111111111,F0,t724507
1.0,18,1,0.05555555555555555,F0,t1002642
1.0,18,1,0.05555555555555555,F0,t800998
1.0,18,1,0.05555555555555555,F0,t261583
1.0,18,1,0.05555555555555555,F0,t1015401
1.0,18,1,0.05555555555555555,F0,t579819
1.0,18,1,0.05555555555555555,F0,t806939
1.0,18,1,0.05555555555555555,F0,t569034
1.0,18,1,0.05555555555555555,F0,t255745
1.0,18,1,0.05555555555555555,F0,t297442
1.0,18,1,0.05555555555555555,F0,t838031
1.0,18,2,0.1111111111111111,F0,t116923
1.0,18,1,0.05555555555555555,F0,t260943
1.0,18,1,0.05555555555555555,F0,t954193
1.0,18,3,0.16666666666666666,F0,t340584
1.0,18,1,0.05555555555555555,F0,t9630
1.0,18,1,0.05555555555555555,F0,t464357
1.0,18,1,0.05555555555555555,F0,t339237
1.0,18,1,0.05555555555555555,F0,t35828
1.0,18,1,0.05555555555555555,F0,t370136
1.0,18,1,0.05555555555555555,F0,t401585
1.0,18,1,0.05555555555555555,F0,t263049
1.0,18,1,0.05555555555555555,F0,t650827
1.0,18,1,0.05555555555555555,F0,t665351
1.0,18,1,0.05555555555555555,F0,t410626
0.5,18,2,0.1111111111111111,F0,t441951
0.5,18,2,0.1111111111111111,F0,t385128
1.0,18,1,0.05555555555555555,F0,t814816
1.0,18,1,0.05555555555555555,F0,t841639
1.0,18,1,0.05555555555555555,F0,t361393
1.0,18,1,0.05555555555555555,F0,t865431
1.0,18,1,0.05555555555555555,F0,t428780
1.0,18,1,0.05555555555555555,F0,t702281
1.0,18,1,0.05555555555555555,F0,t973175
1.0,18,1,0.05555555555555555,F0,t841294
1.0,18,2,0.1111111111111111,F0,t382706
1.0,18,1,0.05555555555555555,F0,t360784
1.0,18,1,0.05555555555555555,F0,t949126
0.5,18,2,0.1111111111111111,F0,t990155
1.0,18,1,0.05555555555555555,F0,t418859
1.0,18,1,0.05555555555555555,F0,t798588
0.5,18,2,0.1111111111111111,F0,t613895
1.0,18,1,0.05555555555555555,F0,t695073
0.5,18,2,0.1111111111111111,F0,t473743
1.0,18,1,0.05555555555555555,F0,t648471
1.0,18,1,0.05555555555555555,F0,t465879
0.5,18,2,0.1111111111111111,F0,t472787
1.0,18,1,0.05555555555555555,F0,t84733
1.0,18,1,0.05555555555555555,F0,t947514
1.0,18,1,0.05555555555555555,F0,t637927
1.0,18,1,0.05555555555555555,F0,t43149
1.0,18,1,0.05555555555555555,F0,t159721
1.0,18,1,0.05555555555555555,F0,t368821
1.0,18,1,0.05555555555555555,F0,t950272
1.0,18,1,0.05555555555555555,F0,t1036164
1.0,18,1,0.05555555555555555,F0,t862886
1.0,18,1,0.05555555555555555,F0,t212481
1.0,18,1,0.05555555555555555,F0,t535826
1.0,18,1,0.05555555555555555,F0,t263339
1.0,18,1,0.05555555555555555,F0,t960055
1.0,18,1,0.05555555555555555,F0,t342362
1.0,18,1,0.05555555555555555,F0,t540139
1.0,18,1,0.05555555555555555,F0,t84131
1.0,18,1,0.05555555555555555,F0,t201565
1.0,18,2,0.1111111111111111,F0,t506014
1.0,18,1,0.05555555555555555,F0,t334100
1.0,18,1,0.05555555555555555,F0,t632083
1.0,18,1,0.05555555555555555,F0,t182844
1.0,18,1,0.05555555555555555,F0,t377315
1.0,18,1,0.05555555555555555,F0,t792394
1.0,18,1,0.05555555555555555,F0,t140713
1.0,18,1,0.05555555555555555,F0,t666103
1.0,18,1,0.05555555555555555,F0,t360222
1.0,18,1,0.05555555555555555,F0,t846111
1.0,18,1,0.05555555555555555,F0,t146627
1.0,18,1,0.05555555555555555,F0,t718120
1.0,18,1,0.05555555555555555,F0,t71129
1.0,18,1,0.05555555555555555,F0,t623196
1.0,18,1,0.05555555555555555,F0,t387415
1.0,18,1,0.05555555555555555,F0,t976960
1.0,18,1,0.05555555555555555,F0,t957270
1.0,18,1,0.05555555555555555,F0,t945938
1.0,18,1,0.05555555555555555,F0,t509652
1.0,18,1,0.05555555555555555,F0,t227140
1.0,18,1,0.05555555555555555,F0,t139320
1.0,18,1,0.05555555555555555,F0,t392205
1.0,18,1,0.05555555555555555,F0,t183136
1.0,18,1,0.05555555555555555,F0,t138254
1.0,18,1,0.05555555555555555,F0,t641543
1.0,18,1,0.05555555555555555,F0,t552196
1.0,18,1,0.05555555555555555,F0,t96961
1.0,18,1,0.05555555555555555,F0,t263995
1.0,18,1,0.05555555555555555,F0,t478529
1.0,18,1,0.05555555555555555,F0,t613178
1.0,18,1,0.05555555555555555,F0,t1026705
1.0,18,1,0.05555555555555555,F0,t604032
1.0,18,1,0.05555555555555555,F0,t201381
1.0,18,1,0.05555555555555555,F0,t465813
1.0,18,1,0.05555555555555555,F0,t146489
1.0,18,1,0.05555555555555555,F0,t1018673
1.0,18,1,0.05555555555555555,F0,t750429
1.0,18,1,0.05555555555555555,F0,t651236
1.0,18,1,0.05555555555555555,F0,t233545
1.0,18,1,0.05555555555555555,F0,t189299
1.0,18,1,0.05555555555555555,F0,t533023
1.0,18,1,0.05555555555555555,F0,t639534
1.0,18,1,0.05555555555555555,F0,t826802
1.0,18,1,0.05555555555555555,F0,t764484
1.0,18,1,0.05555555555555555,F0,t599984
1.0,18,1,0.05555555555555555,F0,t566688
1.0,18,1,0.05555555555555555,F0,t165013
1.0,18,1,0.05555555555555555,F0,t464134
1.0,18,1,0.05555555555555555,F0,t407156
1.0,16,3,0.1875,F1,t792394
1.0,16,1,0.0625,F1,t649623
1.0,16,1,0.0625,F1,t713737
1.0,16,1,0.0625,F1,t17222
1.0,16,1,0.0625,F1,t153175
1.0,16,1,0.0625,F1,t658610
1.0,16,1,0.0625,F1,t109710
1.0,16,1,0.0625,F1,t697500
1.0,16,2,0.125,F1,t783766
1.0,16,1,0.0625,F1,t107599
1.0,16,1,0.0625,F1,t222312
1.0,16,1,0.0625,F1,t795220
1.0,16,1,0.0625,F1,t594933
1.0,16,1,0.0625,F1,t342362
1.0,16,1,0.0625,F1,t320892
1.0,16,1,0.0625,F1,t317189
1.0,16,1,0.0625,F1,t325492
1.0,16,1,0.0625,F1,t978785
1.0,16,1,0.0625,F1,t587120
1.0,16,1,0.0625,F1,t745689
1.0,16,1,0.0625,F1,t229750
1.0,16,1,0.0625,F1,t447695
1.0,16,1,0.0625,F1,t456478
1.0,16,1,0.0625,F1,t280831
